id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19035665,Mount Pleasant Haven,114414731,Lynn,,Riley Park,49.2555,-123.09562,Entire home/apt,100,31,27,2022-03-28,0.43,1,112,3,
19040448,Cozy 2 bedroom basement suite in Vancouver,108811627,Kevin,,Hastings-Sunrise,49.26772,-123.02904,Entire home/apt,189,1,245,2022-08-16,3.84,1,346,13,20-160701
19050386,Private Bathroom + Bedroom - Amazing Location,15589948,Humam,,Downtown,49.27737,-123.13023,Private room,85,7,3,2019-01-30,0.05,2,0,0,19-160925
19055891,Quaint private Kitsilano Bedroom & Bathroom suite!,92576846,Chris,,Kitsilano,49.26082,-123.16845,Entire home/apt,163,2,242,2022-08-07,3.79,2,140,51,22-156436
19057656,"Convenient, Comfortable, and Stylish- Entire Suite",103617576,Sara,,Downtown,49.27904,-123.10775,Entire home/apt,450,1,60,2022-09-05,0.95,1,347,13,19-207153
19070991,"Modern + Bright 1 Bedroom off ""The Drive""",9037016,Suraiya,,Grandview-Woodland,49.27188,-123.07267,Entire home/apt,225,3,12,2019-06-27,0.21,1,0,0,19-162346
19071363,2 Bdr+ 2 Bth Condo in Downtown Vancouver w/ View,5479318,Benny,,Downtown,49.27766,-123.1096,Entire home/apt,400,2,81,2022-08-14,1.28,1,70,6,18-552326
19073601,amazing view and awesome amenities,133164169,Xerxes,,Downtown,49.28631,-123.12253,Shared room,100,30,36,2018-03-16,0.56,1,128,0,
19084844,Cozy and friendly space near the PNE,40840488,Maret,,Hastings-Sunrise,49.28627,-123.04713,Private room,75,7,116,2022-09-01,1.86,2,116,4,22-156028
19085886,Steps away from Granville Island!,51620742,Ryan,,Fairview,49.2664,-123.13748,Entire home/apt,94,1,33,2019-09-23,0.52,1,0,0,794376
19094811,3 Bed Ocean View Penthouse Vancouver (3 mnth min),47707132,Shawn,,Downtown,49.273529,-123.125443,Entire home/apt,379,90,0,,,1,273,0,
19101912,Family Friendly Home in Main St. Neighbourhood,133451355,Jeff,,Riley Park,49.24118,-123.09683,Entire home/apt,300,3,7,2018-07-22,0.11,1,0,0,18-559989
19118514,Gorgeous Views!  Parking high floor. Licensed,66200235,Erik & Lynn,,Downtown,49.2798,-123.10891,Entire home/apt,614,3,168,2022-08-29,2.66,1,350,35,22-156178
19120673,Unique West Coast Home Near UBC *Air Conditioning*,1887496,Juliette,,West Point Grey,49.2602,-123.21289,Entire home/apt,975,6,21,2022-08-20,0.34,2,0,1,22-156144
19136713,Spacious & Modern 1BR - DT views + Parking and AC!,27188869,Dre,,Downtown Eastside,49.27917,-123.10087,Entire home/apt,81,2,67,2020-11-08,1.06,1,0,0,21-156485
19137495,Beautiful Modern Studio in heart of downtown,108570318,Sara,,West End,49.28219,-123.12516,Entire home/apt,200,1,132,2018-08-29,2.09,1,0,0,18-129338
19138815,The Beach House,133781038,Tracey,,Kitsilano,49.27105,-123.18454,Private room,51,30,53,2022-08-06,0.83,1,84,3,18-551887
